cpu_label,item_id,simulated_delay_ms,end_to_end_ms,server_embedding_ms,server_similarity_ms
0.5,Q_020,5,3997.099799918942,3982.187251007417,0.10864401701837778
0.75,Q_001,5,1100.5970999831334,1075.251960020978,0.06719000521115959
0.75,Q_002,5,1702.4250999093056,1602.8070350002963,0.06364998989738524
0.75,Q_003,5,2598.5257000429556,2573.4908230078872,0.06418497650884092
0.75,Q_004,5,796.758700045757,694.4507879961748,0.06588900578208268
0.75,Q_005,5,1903.8414000533521,1874.8370989924297,0.09873299859464169
0.75,Q_006,5,894.9101000325754,774.1446879808791,0.06344201392494142
0.75,Q_007,5,902.4997999658808,876.2807510211132,0.06834699888713658
0.75,Q_008,5,999.2452000733465,901.0012990038376,0.09536699508316815
0.75,Q_009,5,601.5447999816388,495.05333401612006,0.06472499808296561
0.75,Q_010,5,695.8369999192655,503.67559600272216,0.07187301525846124
0.75,Q_011,5,899.1350999567658,699.2240110121202,0.06628199480473995
0.75,Q_012,5,1007.9791001044214,995.2489669958595,7.936620997497812
0.75,Q_013,5,1594.7818999411538,1574.0080420218874,0.06124301580712199
0.75,Q_014,5,2197.522100061178,1999.8362520127557,0.1360979804303497
0.75,Q_015,5,402.62790000997484,304.01874700328335,0.1575110072735697
0.75,Q_016,5,1096.8829999910668,1000.5608880019281,0.0616449979133904
0.75,Q_017,5,1801.1791000608355,1782.7167620125692,0.06337699596770108
0.75,Q_018,5,1496.4239000109956,1201.9429650099482,0.1347159850411117
0.75,Q_019,5,1598.820299957879,1399.5214729802683,99.26556400023401
0.75,Q_020,5,702.4147000629455,697.3787660244852,0.09441000293008983
1.0,Q_001,5,102.41170006338507,6.617765000555664,0.06304398993961513
1.0,Q_002,5,192.40940001327544,74.28793801227584,0.09420601418241858
1.0,Q_003,5,108.50240010768175,89.38800299074501,0.08192102541215718
1.0,Q_004,5,297.2396000986919,206.17714000400156,0.0977180025074631
1.0,Q_005,5,294.4971000542864,182.9814950178843,0.06524700438603759
1.0,Q_006,5,199.19459999073297,89.90567701403052,0.0800649868324399
1.0,Q_007,5,201.09460002277046,101.35078500024974,0.13061999925412238
1.0,Q_008,5,297.2250999882817,186.110574984923,0.06253900937736034
1.0,Q_009,5,105.05270003341138,90.26311698835343,0.06299701635725796
1.0,Q_010,5,195.22699993103743,83.16121800453402,0.08506901212967932
1.0,Q_011,5,104.18260004371405,78.23429998825304,0.06508899969048798
1.0,Q_012,5,296.0036000004038,201.00954998633824,0.06952701369300485
1.0,Q_013,5,202.93110003694892,196.6265020018909,0.11865299893543124
1.0,Q_014,5,199.54519998282194,103.80079600145109,0.06085701170377433
1.0,Q_015,5,294.59720000158995,171.09367999364622,0.06583999493159354
1.0,Q_016,5,203.8133000023663,177.39544599317014,0.15407698811031878
1.0,Q_017,5,200.01229993067682,175.66870400332846,0.0793399813119322
1.0,Q_018,5,296.4329000096768,173.8274459785316,0.09535500430501997
1.0,Q_019,5,103.7588999606669,83.95833399845287,0.10593998013064265
1.0,Q_020,5,298.87149995192885,292.9620550130494,0.10482000652700663
1.5,Q_001,5,101.9426001003012,80.62930501182564,0.1026719983201474
1.5,Q_002,5,99.62140000425279,71.73543598037213,0.0615989847574383
1.5,Q_003,5,99.03670009225607,76.93091599503532,0.10754200047813356
1.5,Q_004,5,98.45849999692291,81.57950002350844,0.07091398583725095
1.5,Q_005,5,101.16540000308305,93.5061960190069,0.11217599967494607
1.5,Q_006,5,99.84290006104857,83.72789301211014,0.09540098835714161
1.5,Q_007,5,100.0716999405995,76.48799900198355,0.06605099770240486
1.5,Q_008,5,100.00159998890013,84.35344998724759,0.09607398533262312
1.5,Q_009,5,98.69179991073906,75.31229598680511,0.10055300663225353
1.5,Q_010,5,98.69760007131845,94.10684800241143,0.07639001705683768
1.5,Q_011,5,101.78279993124306,76.23399098520167,0.07785100024193525
1.5,Q_012,5,100.75240000151098,8.536898996680975,0.08654501289129257
1.5,Q_013,5,96.84180002659559,73.85976100340486,0.08097800309769809
1.5,Q_014,5,99.92299997247756,94.72533699590713,0.0817989930510521
1.5,Q_015,5,99.21429993119091,70.80710399895906,0.10760000441223383
1.5,Q_016,5,193.6792000196874,77.82087699160911,91.52359399013221
1.5,Q_017,5,106.26849997788668,88.8614889991004,0.06014000973664224
1.5,Q_018,5,99.16149999480695,93.91869499813765,0.08031801553443074
