cpu_label,phase,request_index,request_id,item_id,status,error_type,tcp_connect_ms,tcp_connect_error,total_elapsed_ms,cgroup_nr_periods_delta,cgroup_nr_throttled_delta,cgroup_throttled_time_delta_ns
0.25,steady,22,985d88ac,Q_002,success,,14.4,,185.0,1189,1189,0
0.25,steady,23,f423b651,Q_003,success,,0.4,,197.8,1189,1189,0
0.25,steady,24,8c366721,Q_004,success,,23.5,,85.0,1189,1189,0
0.25,steady,25,e4f9c6bc,Q_005,success,,17.2,,183.1,1189,1189,0
0.25,steady,26,3601508e,Q_006,success,,15.8,,275.6,1189,1189,0
0.25,steady,27,066f1a82,Q_007,success,,11.9,,95.3,1189,1189,0
0.25,steady,28,10eda95e,Q_008,success,,0.5,,291.9,1189,1189,0
0.25,steady,29,0202244a,Q_009,success,,11.8,,186.3,1189,1189,0
0.25,steady,30,c7e97fd7,Q_010,success,,10.4,,99.0,1189,1189,0
1.0,immediate,1,1af81721,Q_001,success,,2.5,,41.6,14,6,0
1.0,immediate,2,202a5fa6,Q_002,success,,21.9,,33.7,14,6,0
1.0,immediate,3,28a5c803,Q_003,success,,21.6,,21.8,14,6,0
1.0,immediate,4,9391f1d3,Q_004,success,,0.4,,40.1,14,6,0
1.0,immediate,5,03b33f1a,Q_005,success,,0.5,,45.5,14,6,0
1.0,immediate,6,ba5e470c,Q_006,success,,0.5,,36.5,14,6,0
1.0,immediate,7,67b04578,Q_007,success,,0.4,,42.5,14,6,0
1.0,immediate,8,b9fe787c,Q_008,success,,11.1,,36.3,14,6,0
1.0,immediate,9,f5b97faa,Q_009,success,,17.4,,31.2,14,6,0
1.0,immediate,10,00741b21,Q_010,success,,0.5,,21.8,14,6,0
1.0,immediate,11,1cbd4ba4,Q_011,success,,18.9,,32.3,14,6,0
1.0,immediate,12,1edf172a,Q_012,success,,25.2,,35.6,14,6,0
1.0,immediate,13,a4203ac8,Q_013,success,,0.5,,43.0,14,6,0
1.0,immediate,14,57ab9810,Q_014,success,,0.6,,35.1,14,6,0
1.0,immediate,15,cc972fbe,Q_015,success,,0.5,,31.2,14,6,0
1.0,immediate,16,258a1105,Q_016,success,,0.4,,56.3,14,6,0
1.0,immediate,17,4abedc7c,Q_017,success,,0.4,,40.9,14,6,0
1.0,immediate,18,4a076310,Q_018,success,,0.4,,41.1,14,6,0
1.0,immediate,19,fc4bf69a,Q_019,success,,0.5,,31.7,14,6,0
1.0,immediate,20,c62f484a,Q_020,success,,0.5,,20.4,14,6,0
1.0,immediate,21,e80818d3,Q_001,success,,0.5,,67.5,14,6,0
1.0,immediate,22,b92f7afd,Q_002,success,,0.5,,22.9,14,6,0
1.0,immediate,23,1afe88a6,Q_003,success,,0.5,,68.8,14,6,0
1.0,immediate,24,39d327d5,Q_004,success,,0.4,,21.2,14,6,0
1.0,immediate,25,0ff05b66,Q_005,success,,0.4,,35.0,14,6,0
1.0,immediate,26,d4459af5,Q_006,success,,0.5,,52.5,14,6,0
1.0,immediate,27,d6c64bc8,Q_007,success,,0.4,,20.8,14,6,0
1.0,immediate,28,38c0960f,Q_008,success,,13.8,,56.3,14,6,0
1.0,immediate,29,b22de849,Q_009,success,,0.4,,31.8,14,6,0
1.0,immediate,30,71f2dc04,Q_010,success,,0.5,,20.5,14,6,0
1.0,steady,1,a3785fa4,Q_001,success,,2.6,,298.4,105,104,0
1.0,steady,2,1590e662,Q_002,success,,10.8,,487.0,105,104,0
1.0,steady,3,5e7e8782,Q_003,success,,13.6,,285.7,105,104,0
1.0,steady,4,332926f5,Q_004,success,,11.6,,287.4,105,104,0
1.0,steady,5,99f1c5f5,Q_005,success,,0.8,,399.0,105,104,0
1.0,steady,6,943dd14e,Q_006,success,,15.8,,382.7,105,104,0
1.0,steady,7,f21dc204,Q_007,success,,0.6,,101.5,105,104,0
1.0,steady,8,399a31f7,Q_008,success,,10.5,,287.6,105,104,0
1.0,steady,9,e7b0bf8b,Q_009,success,,22.3,,376.6,105,104,0
1.0,steady,10,fcf5d7c3,Q_010,success,,0.8,,598.1,105,104,0
1.0,steady,11,b2a0dd2a,Q_011,success,,0.9,,300.6,105,104,0
1.0,steady,12,bbd81e29,Q_012,success,,1.0,,396.7,105,104,0
1.0,steady,13,e5fc3ada,Q_013,success,,14.2,,388.0,105,104,0
1.0,steady,14,9554b6b3,Q_014,success,,14.8,,89.3,105,104,0
1.0,steady,15,993208cd,Q_015,success,,18.5,,376.9,105,104,0
1.0,steady,16,a6ed343d,Q_016,success,,12.6,,290.8,105,104,0
1.0,steady,17,44429386,Q_017,success,,13.4,,282.2,105,104,0
1.0,steady,18,96975426,Q_018,success,,13.1,,284.3,105,104,0
1.0,steady,19,7534e070,Q_019,success,,23.6,,85.4,105,104,0
1.0,steady,20,f081f7b6,Q_020,success,,0.6,,196.6,105,104,0
1.0,steady,21,49966e94,Q_001,success,,11.2,,582.3,105,104,0
1.0,steady,22,9d61855f,Q_002,success,,20.9,,178.6,105,104,0
1.0,steady,23,c31790d0,Q_003,success,,21.4,,84.9,105,104,0
1.0,steady,24,d6e20731,Q_004,success,,23.2,,474.4,105,104,0
1.0,steady,25,83743b7a,Q_005,success,,11.7,,584.5,105,104,0
1.0,steady,26,efe75c85,Q_006,success,,12.7,,387.4,105,104,0
1.0,steady,27,867b2036,Q_007,success,,16.6,,581.0,105,104,0
1.0,steady,28,6c2edaca,Q_008,success,,11.3,,190.7,105,104,0
1.0,steady,29,634d6ef9,Q_009,success,,13.5,,384.2,105,104,0
1.0,steady,30,988c2ee1,Q_010,success,,10.9,,289.8,105,104,0
